RN;SAT;Regiao;Estado;Latitude;Longitude
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,9788127;-47,8195672
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,0197671;-47,8008205
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,5633432;-47,6591913
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,5304971;-47,625435
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,9377468;-47,8075113
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,9479968;-47,7123234
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,9603608;-47,6369519
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,0246319;-47,5457596
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,8507793;-47,6240649
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,7339082;-47,6616107
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,0374104;-47,4139167
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,7900531;-47,3805571
2227Z;91325;CENTRO-OESTE;DISTRITO FEDERAL;-15,6289667;-47,3566289
2263R;91330;CENTRO-OESTE;DISTRITO FEDERAL;-15,6938435;-48,216955
2264G;91328;CENTRO-OESTE;DISTRITO FEDERAL;-15,556042;-48,1959684
2369V;91200;CENTRO-OESTE;DISTRITO FEDERAL;-15,9474753;-47,877869
2378G;91166;CENTRO-OESTE;DISTRITO FEDERAL;-15,9478;-47,8769802
2378H;91167;CENTRO-OESTE;DISTRITO FEDERAL;-15,9467634;-47,8786248
2378J;91168;CENTRO-OESTE;DISTRITO FEDERAL;-15,9486497;-47,8781856
2378L;91127;CENTRO-OESTE;DISTRITO FEDERAL;-15,9461897;-47,8842643
9305U;91315;CENTRO-OESTE;DISTRITO FEDERAL;-15,7813644;-47,7906928
9501V;96123;CENTRO-OESTE;DISTRITO FEDERAL;-15,9274337;-47,8337306
1236J;92840;CENTRO-OESTE;GOIAS;-18,7697159;-51,3481388
1256H;91309;CENTRO-OESTE;GOIAS;-15,8515438;-50,0923884
1256L;92846;CENTRO-OESTE;GOIAS;-15,8051168;-50,1207568
1282V;92848;CENTRO-OESTE;GOIAS;-14,4931662;-50,0644913
1287S;92842;CENTRO-OESTE;GOIAS;-17,1284195;-51,2242959
1288T;92841;CENTRO-OESTE;GOIAS;-17,5745672;-51,0908541
1357V;92849;CENTRO-OESTE;GOIAS;-13,2729941;-50,1625731
2269L;92603;CENTRO-OESTE;GOIAS;-14,181619;-48,076216
2269M;92602;CENTRO-OESTE;GOIAS;-14,160942;-48,075583
2326G;92613;CENTRO-OESTE;GOIAS;-16,6901934;-49,2534493
3200V;92858;CENTRO-OESTE;GOIAS;-16,9311748;-48,3707941
3254X;92604;CENTRO-OESTE;GOIAS;-13,7312729;-48,1401703
3254Z;92622;CENTRO-OESTE;GOIAS;-13,8860227;-48,1507703
3261L;92713;CENTRO-OESTE;GOIAS;-18,3884081;-49,0687673
651J;92839;CENTRO-OESTE;GOIAS;-18,2165898;-49,7374279
663Z;92620;CENTRO-OESTE;GOIAS;-14,527108;-49,105316
674V;92861;CENTRO-OESTE;GOIAS;-13,4352651;-49,1445341
700H;92844;CENTRO-OESTE;GOIAS;-15,8644467;-50,8691884
701Z;92845;CENTRO-OESTE;GOIAS;-15,9338721;-50,1400324
708E;92838;CENTRO-OESTE;GOIAS;-17,1499275;-50,017456
717Z;92843;CENTRO-OESTE;GOIAS;-17,3572168;-52,679413
1045V;92817;CENTRO-OESTE;MATO GROSSO;-15,6589788;-57,2704588
1202K;92722;CENTRO-OESTE;MATO GROSSO;-17,09718;-54,760817
1215Z;90404;CENTRO-OESTE;MATO GROSSO;-10,185202;-54,945859
1220P;90295;CENTRO-OESTE;MATO GROSSO;-12,6728393;-55,7943447
1225B;92803;CENTRO-OESTE;MATO GROSSO;-15,4825401;-52,2031307
1268V;92805;CENTRO-OESTE;MATO GROSSO;-11,762609;-51,961458
1273L;92806;CENTRO-OESTE;MATO GROSSO;-10,5446818;-53,5831038
1279N;91340;CENTRO-OESTE;MATO GROSSO;-11,532244;-56,757964
2197J;92802;CENTRO-OESTE;MATO GROSSO;-15,7553217;-53,6179384
2222C;92813;CENTRO-OESTE;MATO GROSSO;-15,339169;-58,869826
2229R;91343;CENTRO-OESTE;MATO GROSSO;-13,6589473;-57,8914344
2231H;92815;CENTRO-OESTE;MATO GROSSO;-12,91912;-58,04651
2234T;91345;CENTRO-OESTE;MATO GROSSO;-11,581004;-58,330561
2236Z;91346;CENTRO-OESTE;MATO GROSSO;-11,62834;-59,077742
2238E;92814;CENTRO-OESTE;MATO GROSSO;-11,988765;-59,42792
2250L;92811;CENTRO-OESTE;MATO GROSSO;-15,0780091;-55,9948593
3278H;92586;CENTRO-OESTE;MATO GROSSO;-15,5542953;-56,0688301
3278J;92587;CENTRO-OESTE;MATO GROSSO;-15,5550094;-56,0706384
3278L;92588;CENTRO-OESTE;MATO GROSSO;-15,5559585;-56,0702852
3278M;92583;CENTRO-OESTE;MATO GROSSO;-15,555263;-56,0698666
3278N;92584;CENTRO-OESTE;MATO GROSSO;-15,5508491;-56,0558676
724T;92818;CENTRO-OESTE;MATO GROSSO;-16,1901133;-54,7846319
748G;92816;CENTRO-OESTE;MATO GROSSO;-14,4472217;-58,4211914
751B;91348;CENTRO-OESTE;MATO GROSSO;-14,0771718;-59,436271
9517B;91255;CENTRO-OESTE;MATO GROSSO;-13,8465854;-59,5563607
1207X;91294;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7916007;-54,3674329
1247J;91308;CENTRO-OESTE;MATO GROSSO DO SUL;-21,839886;-52,6732029
1249E;91307;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6232648;-53,6517208
1501B;91288;CENTRO-OESTE;MATO GROSSO DO SUL;-20,0519893;-51,8461119
1505J;91290;CENTRO-OESTE;MATO GROSSO DO SUL;-19,616084;-52,509999
1507H;91297;CENTRO-OESTE;MATO GROSSO DO SUL;-18,8388303;-53,1363225
1513J;91292;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7125195;-55,4112171
